iter	Passed	Remaining
1234	32825	232967
1235	32850	232933
1236	32875	232894
1237	32903	232875
1238	32930	232850
1239	32953	232801
1240	32982	232793
1241	33012	232788
1242	33038	232758
1243	33068	232752
1244	33098	232749
1245	33128	232749
1246	33156	232733
1247	33180	232688
1248	33209	232675
1249	33238	232667
1250	33266	232653
1251	33291	232616
1252	33316	232576
1253	33340	232530
1254	33363	232483
1255	33387	232439
1256	33417	232430
1257	33441	232390
1258	33471	232383
1259	33495	232344
1260	33524	232333
1261	33551	232308
1262	33575	232262
1263	33602	232238
1264	33625	232187
1265	33653	232173
1266	33682	232161
1267	33706	232114
1268	33730	232075
1269	33757	232049
1270	33784	232024
1271	33809	231988
1272	33837	231968
1273	33863	231939
1274	33892	231933
1275	33915	231879
1276	33941	231851
1277	33967	231815
1278	33992	231783
1279	34023	231786
1280	34048	231750
1281	34078	231742
1282	34101	231693
1283	34127	231664
1284	34156	231652
1285	34183	231626
1286	34212	231617
1287	34234	231558
1288	34257	231512
1289	34286	231500
1290	34314	231481
1291	34340	231450
1292	34365	231417
1293	34391	231386
1294	34417	231355
1295	34447	231349
1296	34475	231331
1297	34503	231315
1298	34527	231274
1299	34551	231227
1300	34576	231189
1301	34602	231159
1302	34625	231112
1303	34651	231083
1304	34675	231038
1305	34700	230997
1306	34721	230939
1307	34746	230900
1308	34774	230881
1309	34801	230855
1310	34823	230804
1311	34852	230794
1312	34879	230768
1313	34901	230713
1314	34930	230703
1315	34957	230679
1316	34983	230649
1317	35009	230615
1318	35038	230606
1319	35063	230570
1320	35092	230560
1321	35120	230538
1322	35146	230511
1323	35170	230464
1324	35200	230461
1325	35229	230449
1326	35250	230391
1327	35274	230346
1328	35303	230336
1329	35329	230302
1330	35359	230303
1331	35387	230285
1332	35415	230266
1333	35442	230240
1334	35468	230210
1335	35489	230149
1336	35518	230141
1337	35540	230081
1338	35568	230064
1339	35596	230051
1340	35626	230041
1341	35651	230008
1342	35678	229982
1343	35707	229973
1344	35735	229958
1345	35764	229945
1346	35789	229908
1347	35817	229890
1348	35845	229870
1349	35872	229850
1350	35896	229809
1351	35922	229777
1352	35945	229727
1353	35973	229712
1354	36001	229694
1355	36024	229644
1356	36048	229597
1357	36073	229565
1358	36096	229516
1359	36126	229511
1360	36153	229485
1361	36177	229444
1362	36204	229420
1363	36226	229364
1364	36252	229332
1365	36277	229296
1366	36302	229261
1367	36329	229234
1368	36357	229218
1369	36384	229194
1370	36410	229168
1371	36438	229148
1372	36464	229116
1373	36491	229093
1374	36515	229054
1375	36541	229023
1376	36569	229003
1377	36594	228969
1378	36619	228930
1379	36644	228896
1380	36674	228890
1381	36698	228848
1382	36724	228817
1383	36750	228790
1384	36774	228747
1385	36797	228695
1386	36827	228689
1387	36851	228646
1388	36879	228629
1389	36908	228622
1390	36934	228591
1391	36962	228570
1392	36989	228550
1393	37016	228528
1394	37045	228513
1395	37068	228465
1396	37093	228426
1397	37120	228408
1398	37147	228382
1399	37176	228370
1400	37202	228338
1401	37228	228309
1402	37254	228277
1403	37279	228243
1404	37311	228248
1405	37338	228229
1406	37368	228218
1407	37396	228202
1408	37428	228208
1409	37462	228228
1410	37491	228217
1411	37515	228175
1412	37540	228137
1413	37561	228080
1414	37589	228059
1415	37614	228024
1416	37640	227993
1417	37669	227981
1418	37702	227995
1419	37726	227951
1420	37754	227932
1421	37779	227901
1422	37808	227888
1423	37836	227870
1424	37862	227836
1425	37886	227798
1426	37915	227786
1427	37941	227755
1428	37969	227735
1429	37994	227698
